2023-02-11 12:09:23,673 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2023-02-11 12:09:23,890 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2023-02-11 12:29:48,109 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-11 12:29:48,109 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-02-11 12:29:48,114 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-11 15:11:53,365 | INFO | ulauncher.search.apps.app_watcher: _add_file_sync() | New app was added "Saints Row IV" (/home/tommi/.local/share/applications/Saints Row IV.desktop)
2023-02-11 15:11:54,346 | INFO | ulauncher.search.apps.app_watcher: _remove_file() | App was removed (/home/tommi/.local/share/applications/My dream setup Demo.desktop)
2023-02-11 17:01:59,075 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-11 17:01:59,076 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-02-11 17:01:59,085 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-11 17:01:59,480 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2023-02-11 17:01:59,584 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2023-02-11 17:02:00,085 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Plank (/usr/share/applications/plank.desktop) Exec ['plank']
2023-02-11 17:02:00,095 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-11 17:38:07,622 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-11 17:38:07,623 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-02-11 17:38:07,627 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
